Genus,Species,Clade,Feeding,Guild,Savannah,AridZone,NEWetForest,NEDryForest,Pilbara,SW,SE
Hydromys,chrysogaster,Hydromys,Carnivorous,Aquatic,1,1,1,1,0,1,1
Leggadina,forresti,Pseudomys,Omnivorous,Terrestrial,0.5,0,1,0,0,0,0
Leporillus,conditor,Mesembriomys,Herbivorus,Terrestrial,0,1,0,0,0,1,0.5
Mastacomys,fuscus,Pseudomys,Herbivorus,Terrestrial,0,0,0,0,0,0,1
Melomys,burtoni,Uromys,Omnivorous,Arboreal,1,0,1,1,0,0,1
Melomys,capensis,Uromys,Omnivorous,Arboreal,0,0,1,0,0,0,0
Melomys,cervinipes,Uromys,Omnivorous,Arboreal,0,0,1,0.5,0,0,0
Mesembriomys,gouldii,Mesembriomys,Frugivorous,Arboreal,1,0,0,1,0,0,0
Mus,musculus,Mus,Omnivorous,Terrestrial,1,1,1,1,1,1,1
Notomys,alexis,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0.5,0.5,0
Notomys,cervinus,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0,0,0
Notomys,fuscus,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0,0,0
Notomys,mitchellii,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0,1,1
Pogonomys,mollipilosis,Pogonomys,Frugivorous,Arboreal,0,0,1,0,0,0,0
Pseudomys,australis,Pseudomys,Granivorous,Terrestrial,0,1,0,0.5,0,0,0.5
Pseudomys,delicatulus,Pseudomys,Granivorous,Terrestrial,1,0.5,0,1,1,0,0.5
Pseudomys,desertor,Pseudomys,Herbivorus,Terrestrial,0.5,1,0,1,0.5,0.5,0.5
Pseudomys,gracilicaudatus,Pseudomys,Omnivorous,Terrestrial,0,0,0,1,0,0,1
Pseudomys,hermannbergensis,Pseudomys,Omnivorous,Terrestrial,0.5,1,0,0.5,1,0.5,0
Pseudomys,higginsi,Pseudomys,Omnivorous,Terrestrial,0,0,0,0,0,0,1
Pseudomys,novaehollandiae,Pseudomys,Granivorous,Terrestrial,0,0,0,0.5,0,0,1
Pseudomys,oralis,Pseudomys,Herbivorus,Terrestrial,0,0,0,0,0,0,1
Pseudomys,patrius,Pseudomys,Omnivorous,Terrestrial,0,0,0,1,0,0,0
Pseudomys,shortridgei,Pseudomys,Herbivorus,Terrestrial,0,0,0,0,0,1,1
Rattus,fuscipes,Rattini,Omnivorous,Terrestrial,0,0.5,1,0.5,0,1,1
Rattus,leucopus,Rattini,Omnivorous,Terrestrial,0,0,1,0.5,0,0,0
Rattus,lutreolus,Rattini,Herbivorus,Terrestrial,0,0,0,1,0.5,0,1
Rattus,norvegicus,invRattini,Omnivorous,Terrestrial,0.5,0,0.5,0.5,0.5,0.5,0.5
Rattus,rattus,invRattini,Omnivorous,Terrestrial,0.5,0,0.5,0.5,0.5,0.5,0.5
Rattus,sordidus,Rattini,Omnivorous,Terrestrial,0.5,0,0.5,1,0,0,0
Rattus,tunneyi,Rattini,Omnivorous,Terrestrial,1,0.5,0.5,1,1,1,0.5
Rattus,villosissimus,Rattini,Omnivorous,Terrestrial,1,0.5,0,0.5,0,0,0
Uromys,caudimaculatus,Uromys,Frugivorous,Arboreal,0,0,1,1,0,0,0
Xeromys,myoides,Hydromys,Carnivorous,Aquatic,1,0,0,1,0,0,0
Zyzomys,argurus,Pseudomys,Omnivorous,Terrestrial,1,1,0.5,1,1,0,0
Conilurus,penicillatus,Mesembriomys,Granivorous,Arboreal,1,0,0,0,0,0,0
Leggadina,lakedownensis,Pseudomys,Omnivorous,Terrestrial,1,1,0,1,1,0,0
Leporillus,apicalis,Mesembriomys,Herbivorus,Terrestrial,0,1,0,0,0,1,0.5
Mesembriomys,macrurus,Mesembriomys,Frugivorous,Arboreal,1,0,0,0,1,0,0
Notomys,longicaudatus,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0,1,1
Pseudomys,apodemoides,Pseudomys,Omnivorous,Terrestrial,0,0,0,0,0,0,1
Pseudomys,chapmani,Pseudomys,Omnivorous,Terrestrial,0,0,0,0,1,0,0
Pseudomys,fieldi,Pseudomys,Omnivorous,Terrestrial,0,1,0,0,0,1,0
Zyzomys,pedunculatus,Pseudomys,Granivorous,Terrestrial,0,1,0,0,1,0,0
